Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - 100kb,1202,0,95,153.9951983868612,57.06236399964837,1846.3603820000571,145994.0,15.370431033813874,0.0,96,110,120,130,170,290,1600,1700,1800,1800,1800
GET,Cenario 2 - 400kb,1214,0,120.0,176.08995565815795,74.58523199966294,1842.5887080002212,460771.0,15.523879596547456,0.0,120,130,140,140,190,320,1600,1700,1800,1800,1800
GET,Cenario 3 - 900kb,1212,0,150.0,197.2641363490096,108.21042099996703,1824.6678359996622,984972.0,15.49830483609186,0.0,150,170,170,180,210,320,1400,1700,1800,1800,1800
,Aggregated,3628,0,130.0,175.84332080623244,57.06236399964837,1846.3603820000571,531600.5639470783,46.39261546645319,0.0,130,140,160,160,200,310,1600,1700,1800,1800,1800
