Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - Imagem 1MB,9075,1217,340.0,466.82698599129054,1.0548690006544348,1698.8402429997222,27189.785123966944,103.09171838386713,13.825082233957719,340,610,740,810,1000,1200,1300,1400,1600,1700,1700
GET,Cenario 3 - Imagem 300kb,9074,1195,330.0,458.2724960642421,0.7244150001497474,1684.1081480015418,27079.799426934096,103.08035841489921,13.575162916663496,330,590,720,790,1000,1200,1300,1400,1600,1700,1700
GET,Cenario 4 - Imagens 10mb,9351,1325,320.0,453.097251351829,4.818329000045196,1715.165887000694,35327.082023313014,106.22706981901284,15.051958882492997,320,580,720,790,1000,1200,1300,1400,1600,1700,1700
,Aggregated,27500,3737,330.0,459.33570634722804,0.7244150001497474,1715.165887000694,29920.47069090909,312.3991466177792,42.452204033114214,330,590,720,800,1000,1200,1300,1400,1600,1700,1700
