Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - Imagem 1MB,12485,2038,1200.0,1126.8531268727122,0.7390549999399809,3921.154778001437,25933.8302763316,91.94736558588698,15.00910941642272,1200,1500,1600,1700,2000,2200,2500,2600,2900,3900,3900
GET,Cenario 3 - Imagem 300kb,12548,2012,1200.0,1138.4181263648366,0.7807959991623648,3965.8727059995726,25851.320369780045,92.41133707422587,14.817629119647947,1200,1500,1600,1700,2000,2200,2500,2600,3000,3900,4000
GET,Cenario 4 - Imagens 10mb,12421,1978,1200.0,1140.9242486601743,0.7698939989495557,3972.009290000642,34238.84807986474,91.47602947074908,14.567231808480933,1200,1500,1600,1700,2000,2200,2500,2600,3000,4000,4000
,Aggregated,37454,6028,1200.0,1135.3941376419143,0.7390549999399809,3972.009290000642,28660.409328776634,275.83473213086194,44.393970344551605,1200,1500,1600,1700,2000,2200,2500,2600,3000,3900,4000
