Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - Imagem 1MB,7067,0,100.0,193.4087233693234,54.17385200053104,893.0341859995679,30895.0,59.61199355772922,0.0,100,200,280,330,430,530,630,680,820,890,890
GET,Cenario 2 - Texto 500kb,7078,0,110.0,208.43663102104654,64.09447399983037,825.4935810000461,588866.0,59.70478143506543,0.0,110,230,310,350,460,550,640,690,800,830,830
GET,Cenario 3 - Imagem 300kb,7201,0,100.0,195.6258119618102,53.90662099944166,837.491310000587,30690.0,60.74231860891582,0.0,100,210,290,340,440,530,620,680,820,840,840
,Aggregated,21346,0,110.0,199.1396699313677,53.90662099944166,893.0341859995679,215840.30745807177,180.05909360171046,0.0,110,210,300,340,440,540,630,680,810,840,890
