Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - 100kb,1407,0,100.0,135.39153141364497,56.02504999978919,629.0954149999379,145994.0,15.535499662130892,0.0,100,120,130,140,240,380,490,550,630,630,630
GET,Cenario 2 - 400kb,1405,0,120.0,156.59875578149772,77.88049700002375,659.2845440000019,460771.0,15.51341650696084,0.0,120,140,150,160,270,390,480,550,640,660,660
GET,Cenario 3 - 900kb,1400,0,160.0,193.31488636427576,112.80220100024962,707.9934789999243,984972.0,15.458208619035712,0.0,160,170,190,200,300,420,550,600,670,710,710
,Aggregated,4212,0,130.0,161.718418205601,56.02504999978919,707.9934789999243,529856.9831433998,46.50712478812744,0.0,130,150,170,180,280,400,520,570,640,710,710
