Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - Imagem 1MB,8649,1004,1500.0,1407.7154155113935,0.8281560003524646,3921.848482000314,27308.622384090646,76.05790064409688,8.829012862374062,1500,1700,1800,2000,2400,2600,2800,3100,3800,3900,3900
GET,Cenario 2 - Texto 500kb,8471,980,1600.0,1476.2668905682924,0.6679959997200058,3980.370867999227,520740.78692008025,74.49259756690307,8.617960762078269,1600,1700,1900,2100,2500,2700,2900,3100,3900,4000,4000
GET,Cenario 3 - Imagem 300kb,8565,972,1500.0,1412.001263148037,0.5908469993300969,3970.8556809991933,27207.141856392293,75.3192182930616,8.54761006197967,1500,1700,1800,2000,2400,2600,2800,3100,3800,4000,4000
,Aggregated,25685,2956,1500.0,1431.7530962672809,0.5908469993300969,3980.370867999227,190010.38158458244,225.86971650406156,25.994583686432,1500,1700,1900,2000,2400,2700,2900,3100,3800,4000,4000
