Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - 100kb,3978,0,540.0,762.9674721060845,121.64387500001794,2761.7324670000016,145994.0,45.650340157927694,0.0,540,780,1200,1300,1600,1800,2000,2200,2700,2800,2800
GET,Cenario 2 - 400kb,4026,0,700.0,922.8158098733245,144.9870380001812,2959.354041000097,460771.0,46.20117382499168,0.0,700,1100,1400,1500,1800,2000,2300,2500,2800,3000,3000
GET,Cenario 3 - 900kb,3929,0,850.0,1073.686463515904,199.40343700000085,3488.6657789998026,984972.0,45.08803078946654,0.0,850,1300,1600,1700,2100,2400,2700,2900,3400,3500,3500
,Aggregated,11933,0,680.0,919.2034835952361,121.64387500001794,3488.6657789998026,528432.3444230285,136.93954477238591,0.0,680,1100,1300,1500,1800,2100,2400,2600,3200,3400,3500
