Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - Imagem 1MB,1833,0,81,95.91639744625549,41.63658700053929,982.7163789996121,30895.0,15.201685934872478,0.0,81,98,110,120,140,190,300,370,580,980,980
GET,Cenario 2 - Texto 500kb,1893,0,92,106.97757226994851,51.91215600007126,681.48255899996,588866.0,15.69928612913999,0.0,92,110,120,120,160,200,310,380,610,680,680
GET,Cenario 3 - Imagem 300kb,1852,0,81,96.46475016361592,40.600150000500435,992.7013079995959,30690.0,15.359259329723857,0.0,81,98,110,120,140,190,290,350,890,990,990
,Aggregated,5578,0,85,99.85228005181361,40.600150000500435,992.7013079995959,220184.96826819648,46.260231393736326,0.0,85,100,110,120,150,190,300,360,590,990,990
