Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 1 - Imagem 1MB,1449,0,73,86.02269855763758,40.064349999738624,833.0681379993621,30993.0,15.312067284037106,0.0,73,88,99,110,130,160,210,250,530,830,830
GET,Cenario 3 - Imagem 300kb,1515,0,72,83.85940095575778,40.513801999622956,730.9177119986998,30788.0,16.00951134252327,0.0,72,87,96,100,120,150,200,230,630,730,730
GET,Cenario 4 - Imagens 10mb,1421,0,73,85.2927804384222,39.562391000799835,429.95247100043343,40724.0,15.01618192589146,0.0,73,89,100,110,130,160,190,220,310,430,430
,Aggregated,4385,0,73,85.03875111995154,39.562391000799835,833.0681379993621,34075.594298745724,46.33776055245183,0.0,73,88,98,110,130,160,200,230,430,830,830
