Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 4 - Imagens 10mb,2949,0,77,94.89363814140538,38.01458799989632,773.3418569996502,40724.0,44.95396365057905,0.0,77,93,100,110,150,210,320,370,640,770,770
,Aggregated,2949,0,77,94.89363814140538,38.01458799989632,773.3418569996502,40724.0,44.95396365057905,0.0,77,93,100,110,150,210,320,370,640,770,770
