Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,Cenario 3 - 900kb,7485,174,3800.0,3788.6316803846626,1.0652499995558173,6816.440169000089,962074.8553106212,105.45452792653072,2.4514479437830787,3800,4100,4400,4600,5000,5300,5700,6000,6500,6800,6800
,Aggregated,7485,174,3800.0,3788.6316803846626,1.0652499995558173,6816.440169000089,962074.8553106212,105.45452792653072,2.4514479437830787,3800,4100,4400,4600,5000,5300,5700,6000,6500,6800,6800
